2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
113588.295688,252267.255217,0.0,759.252596,
0.11191,0.079454,0.072321,0.072956,
258770000.0,169904000.0,152488000.0,145977465.166742,
1015000.0,3175000.0,,10406.96909,11266.846638
1015000.0,3175000.0,,10406.96909,11266.846638
177300000.0,119600000.0,106400000.0,99756448.221887,
52168000.0,41213000.0,36107000.0,35592627.198564,
316381000.0,272837000.0,207260000.0,202519420.256782,
259785000.0,173079000.0,152488000.0,145987872.135832,
207617000.0,131866000.0,116381000.0,110395244.937267,
-12593000.0,-6772000.0,-5647000.0,-5285550.929651,
12817000.0,7266000.0,4381000.0,4465679.993368,
4523000.0,1283000.0,327000.0,320732.875944,
176398588.295688,116677267.255217,106400000.0,99746800.505394,
177300000.0,119600000.0,106400000.0,99756448.221887,
733849000.0,644050000.0,539667000.0,518820810.53458,
210500000.0,131200000.0,117600000.0,111524549.754482,
137124334.0,136881934.0,136726751.0,137533488.0,
137124334.0,136881934.0,136726751.0,137533488.0,
1.29,0.87,0.78,0.725514,
1.29,0.87,0.78,0.725514,
177300000.0,119600000.0,106400000.0,99756448.221887,
177300000.0,119600000.0,106400000.0,99756448.221887,
0.0,0.0,0.0,0.0,
177300000.0,119600000.0,106400000.0,99756448.221887,
4200000.0,4900000.0,2500000.0,1555098.523969,
173000000.0,114700000.0,103900000.0,98201349.697918,
173000000.0,114700000.0,103900000.0,98201349.697918,
21800000.0,9900000.0,8100000.0,7728215.245981,
194800000.0,124600000.0,112000000.0,105929564.943899,
1015000.0,3175000.0,,10406.96909,11266.846638
-3000.0,122000.0,,-10406.96909,-11266.846638
,941000.0,,,
-1012000.0,-4238000.0,,,
-12593000.0,-6772000.0,-5647000.0,-5285550.929651,
4299000.0,789000.0,1593000.0,1140603.812227,
12817000.0,7266000.0,4381000.0,4465679.993368,
4523000.0,1283000.0,327000.0,320732.875944,
214351000.0,133150000.0,118037000.0,114474677.706422,
417468000.0,371213000.0,332407000.0,316301390.277798,
126500000.0,106400000.0,88200000.0,83731698.103639,
52168000.0,41213000.0,36107000.0,35592627.198564,
42148000.0,31612000.0,26230000.0,26517452.810408,
10020000.0,9601000.0,9877000.0,9075174.388157,
127200000.0,129000000.0,113100000.0,108674626.047777,
127200000.0,129000000.0,113100000.0,108674626.047777,
,106400000.0,88200000.0,83731698.103639,67009761.342683
631819000.0,504363000.0,450444000.0,430776067.984221,
316381000.0,272837000.0,207260000.0,202519420.256782,
948200000.0,777200000.0,657704000.0,633295488.241002,
948200000.0,777200000.0,657704000.0,633295488.241002,
